Z, A, Symbol, mass, mass_unc, estimated_flag
 88, 215, Ra, 215.0027200800, 8.172000e-06,  
 89, 215, Ac, 215.0064741320, 1.331800e-05,  
 90, 215, Th, 215.0117248050, 9.490000e-06,  
 91, 215, Pa, 215.0191777280, 7.820200e-05,  
 92, 215, U , 215.0267560350, 9.499700e-05,  
 80, 216, Hg, 216.0213200000, 4.300000e-04, #
 81, 216, Tl, 216.0158000000, 3.200000e-04, #
 82, 216, Pb, 216.0080300000, 2.100000e-04, #
 83, 216, Bi, 216.0063059890, 1.200000e-05,  
 84, 216, Po, 216.0019135060, 1.949000e-06,  
 85, 216, At, 216.0024226310, 3.837000e-06,  
 86, 216, Rn, 216.0002714640, 6.435000e-06,  
 87, 216, Fr, 216.0031894450, 4.480000e-06,  
 88, 216, Ra, 216.0035331170, 9.379000e-06,  
 89, 216, Ac, 216.0087433670, 1.163700e-05,  
 90, 216, Th, 216.0110557140, 1.292800e-05,  
 91, 216, Pa, 216.0191082420, 5.746200e-05,  
 92, 216, U , 216.0247627470, 3.015800e-05,  
 81, 217, Tl, 217.0196600000, 4.300000e-04, #
 82, 217, Pb, 217.0131400000, 3.200000e-04, #
 83, 217, Bi, 217.0093720000, 1.900000e-05,  
 84, 217, Po, 217.0063162160, 7.025000e-06,  
 85, 217, At, 217.0047178350, 5.369000e-06,  
 86, 217, Rn, 217.0039275620, 4.506000e-06,  
 87, 217, Fr, 217.0046319020, 7.010000e-06,  
 88, 217, Ra, 217.0063228060, 7.731000e-06,  
 89, 217, Ac, 217.0093437770, 1.222600e-05,  
 90, 217, Th, 217.0131034440, 1.139400e-05,  
 91, 217, Pa, 217.0183236920, 1.708900e-05,  
 92, 217, U , 217.0246630000, 7.700000e-05, #
 81, 218, Tl, 218.0248850000, 4.290000e-04, #
 82, 218, Pb, 218.0165900000, 3.200000e-04, #
 83, 218, Bi, 218.0141880000, 2.900000e-05,  
 84, 218, Po, 218.0089715020, 2.118000e-06,  
 85, 218, At, 218.0086937350, 1.245600e-05,  
 86, 218, Rn, 218.0056010520, 2.486000e-06,  
 87, 218, Fr, 218.0075782740, 5.106000e-06,  
 88, 218, Ra, 218.0071403250, 1.199700e-05,  
 89, 218, Ac, 218.0116410930, 5.447100e-05,  
 90, 218, Th, 218.0132762420, 1.128900e-05,  
 91, 218, Pa, 218.0200578530, 1.967600e-05,  
 92, 218, U , 218.0235048290, 1.472200e-05,  
 82, 219, Pb, 219.0217700000, 4.300000e-04, #
 83, 219, Bi, 219.0174800000, 2.100000e-04, #
 84, 219, Po, 219.0136140000, 1.700000e-05,  
 85, 219, At, 219.0111606470, 3.474000e-06,  
 86, 219, Rn, 219.0094787530, 2.254000e-06,  
 87, 219, Fr, 219.0092515530, 7.556000e-06,  
 88, 219, Ra, 219.0100851760, 8.865000e-06,  
 89, 219, Ac, 219.0124203480, 5.421000e-05,  
 90, 219, Th, 219.0155356770, 5.429500e-05,  
 91, 219, Pa, 219.0199036500, 5.530400e-05,  
 92, 219, U , 219.0249991610, 5.450900e-05,  
 93, 219, Np, 219.0316230210, 9.485100e-05,  
 82, 220, Pb, 220.0254100000, 4.300000e-04, #
 83, 220, Bi, 220.0223500000, 3.200000e-04, #
 84, 220, Po, 220.0163860000, 1.900000e-05,  
 85, 220, At, 220.0154330000, 1.500000e-05,  
 86, 220, Rn, 220.0113925340, 1.948000e-06,  
 87, 220, Fr, 220.0123267780, 4.324000e-06,  
 88, 220, Ra, 220.0110255620, 8.843000e-06,  
 89, 220, Ac, 220.0147544500, 6.579000e-06,  
 90, 220, Th, 220.0157479260, 2.379500e-05,  
 91, 220, Pa, 220.0217050000, 5.500000e-05, #
 92, 220, U , 220.0246200000, 1.080000e-04, #
 93, 220, Np, 220.0325400000, 2.100000e-04, #
 83, 221, Bi, 221.0258700000, 3.200000e-04, #
 84, 221, Po, 221.0212280000, 2.100000e-05,  
 85, 221, At, 221.0180170000, 1.500000e-05,  
 86, 221, Rn, 221.0155357090, 6.134000e-06,  
 87, 221, Fr, 221.0142537570, 5.245000e-06,  
 88, 221, Ra, 221.0139172240, 4.970000e-06,  
 89, 221, Ac, 221.0155911990, 5.413300e-05,  
 90, 221, Th, 221.0181862360, 8.766000e-06,  
 91, 221, Pa, 221.0218748460, 5.505200e-05,  
 92, 221, U , 221.0263232990, 5.487300e-05,  
 93, 221, Np, 221.0320450000, 2.150000e-04, #
 83, 222, Bi, 222.0308420000, 3.220000e-04, #
 84, 222, Po, 222.0241400000, 4.300000e-05,  
 85, 222, At, 222.0224940000, 1.700000e-05,  
 86, 222, Rn, 222.0175762860, 2.093000e-06,  
 87, 222, Fr, 222.0175826200, 8.000000e-06,  
 88, 222, Ra, 222.0153733550, 4.781000e-06,  
 89, 222, Ac, 222.0178438870, 5.554000e-06,  
 90, 222, Th, 222.0184683000, 1.318200e-05,  
 91, 222, Pa, 222.0237840000, 7.800000e-05, #
 92, 222, U , 222.0260579530, 5.581700e-05,  
 93, 222, Np, 222.0333000000, 2.100000e-04, #
 83, 223, Bi, 223.0345000000, 4.300000e-04, #
 84, 223, Po, 223.0290700000, 2.100000e-04, #
 85, 223, At, 223.0251510000, 1.500000e-05,  
 86, 223, Rn, 223.0218892850, 8.397000e-06,  
 87, 223, Fr, 223.0197343130, 2.073000e-06,  
 88, 223, Ra, 223.0185007190, 2.244000e-06,  
